number579
total area 62997.000000
total length 8593.000000
ID area length
1 275.000000 70.000000
2 37.000000 0.000000
3 340.000000 68.000000
4 322.000000 0.000000
5 21.000000 0.000000
6 67.000000 0.000000
7 135.000000 22.000000
8 42.000000 0.000000
9 83.000000 25.000000
10 41.000000 0.000000
11 1450.000000 214.000000
12 1.000000 0.000000
13 21.000000 0.000000
14 23.000000 0.000000
15 24.000000 0.000000
16 917.000000 144.000000
17 212.000000 46.000000
18 22.000000 0.000000
19 25.000000 0.000000
20 1.000000 0.000000
21 1.000000 0.000000
22 99.000000 23.000000
23 159.000000 0.000000
24 1.000000 0.000000
25 23.000000 0.000000
26 20.000000 0.000000
27 1.000000 0.000000
28 1.000000 0.000000
29 34.000000 0.000000
30 35.000000 0.000000
31 23.000000 0.000000
32 98.000000 17.000000
33 67.000000 18.000000
34 23.000000 0.000000
35 118.000000 23.000000
36 1.000000 0.000000
37 20.000000 0.000000
38 1.000000 0.000000
39 1.000000 0.000000
40 1.000000 0.000000
41 1.000000 0.000000
42 1.000000 0.000000
43 21.000000 0.000000
44 74.000000 0.000000
45 136.000000 33.000000
46 22.000000 0.000000
47 377.000000 45.000000
48 22.000000 0.000000
49 1065.000000 126.000000
50 302.000000 53.000000
51 26.000000 0.000000
52 27.000000 0.000000
53 1.000000 0.000000
54 466.000000 69.000000
55 2.000000 0.000000
56 25.000000 0.000000
57 25.000000 0.000000
58 383.000000 65.000000
59 141.000000 34.000000
60 363.000000 76.000000
61 114.000000 0.000000
62 21.000000 0.000000
63 1.000000 0.000000
64 202.000000 40.000000
65 67.000000 0.000000
66 7.000000 0.000000
67 93.000000 23.000000
68 46.000000 0.000000
69 451.000000 41.000000
70 127.000000 30.000000
71 131.000000 24.000000
72 22.000000 0.000000
73 37.000000 0.000000
74 1.000000 0.000000
75 441.000000 64.000000
76 1.000000 0.000000
77 47.000000 0.000000
78 22.000000 0.000000
79 8.000000 0.000000
80 16.000000 0.000000
81 34.000000 0.000000
82 2.000000 0.000000
83 1.000000 0.000000
84 33.000000 0.000000
85 189.000000 18.000000
86 122.000000 32.000000
87 2.000000 0.000000
88 2.000000 0.000000
89 311.000000 44.000000
90 1.000000 0.000000
91 190.000000 33.000000
92 65.000000 22.000000
93 26.000000 0.000000
94 23.000000 0.000000
95 2.000000 0.000000
96 1.000000 0.000000
97 46.000000 0.000000
98 4.000000 0.000000
99 2.000000 0.000000
100 2.000000 0.000000
101 47.000000 0.000000
102 2.000000 0.000000
103 1.000000 0.000000
104 37.000000 0.000000
105 54.000000 0.000000
106 124.000000 17.000000
107 1.000000 0.000000
108 55.000000 0.000000
109 4.000000 0.000000
110 48.000000 16.000000
111 1.000000 0.000000
112 4.000000 0.000000
113 371.000000 68.000000
114 40.000000 0.000000
115 114.000000 37.000000
116 348.000000 45.000000
117 65.000000 0.000000
118 79.000000 20.000000
119 4.000000 0.000000
120 21.000000 0.000000
121 26.000000 0.000000
122 2.000000 0.000000
123 41.000000 0.000000
124 8.000000 0.000000
125 1322.000000 192.000000
126 22.000000 0.000000
127 1.000000 0.000000
128 14.000000 0.000000
129 1861.000000 130.000000
130 1.000000 0.000000
131 1.000000 0.000000
132 54.000000 0.000000
133 43.000000 0.000000
134 51.000000 0.000000
135 32.000000 0.000000
136 3.000000 0.000000
137 38.000000 0.000000
138 5.000000 0.000000
139 3.000000 0.000000
140 26.000000 0.000000
141 98.000000 0.000000
142 111.000000 17.000000
143 14.000000 0.000000
