number145
mean size 59.593103
mean circularity 0.307324
ID size circularity
1 208 0.081577
2 141 0.087872
3 71 0.110150
4 22 0.352628
5 118 0.114099
6 31 0.496885
7 257 0.077604
8 243 0.088265
9 34 0.242209
10 6 0.294524
11 63 0.171211
12 53 0.246308
13 17 0.370882
14 96 0.188496
15 45 0.267243
16 72 0.251327
17 12 0.261799
18 77 0.215551
19 29 0.464827
20 58 0.189607
21 50 0.272708
22 30 0.368155
23 33 0.460767
24 29 0.281192
25 18 0.334608
26 25 0.349066
27 24 0.335103
28 177 0.177316
29 9 0.349066
30 21 0.313786
31 56 0.161551
32 30 0.480856
33 26 0.416742
34 43 0.416940
35 140 0.074182
36 68 0.441381
37 65 0.149163
38 28 0.343612
39 13 0.337526
40 393 0.174978
41 29 0.464827
42 34 0.329673
43 37 0.219733
44 101 0.435255
45 62 0.202683
46 16 0.349066
47 43 0.467434
48 29 0.404916
49 32 0.347858
50 30 0.368155
51 32 0.392699
52 92 0.223014
53 344 0.063947
54 44 0.382909
55 42 0.407243
56 103 0.478675
57 201 0.156602
58 87 0.123730
59 40 0.387851
60 40 0.259636
61 46 0.298581
62 18 0.392699
63 37 0.454058
64 92 0.130840
65 73 0.143335
66 337 0.056408
67 31 0.169079
68 23 0.800627
69 30 0.778907
70 68 0.208621
71 141 0.136339
72 52 0.370437
73 68 0.160352
74 61 0.262877
75 21 0.336599
76 22 0.352628
77 38 0.330694
78 21 0.390375
79 7 0.343612
80 31 0.269777
81 92 0.200157
82 31 0.432842
83 34 0.417243
84 7 0.271496
85 16 0.297429
86 26 0.483322
87 16 0.415417
88 79 0.275762
89 28 0.219911
90 27 0.432770
91 14 0.305433
92 54 0.320692
93 75 0.163171
94 74 0.357521
95 27 0.376991
96 8 0.251327
97 61 0.395945
98 58 0.167321
99 67 0.311371
100 61 0.125994
101 43 0.416940
102 40 0.387851
103 67 0.397895
104 35 0.207856
105 14 0.305433
106 23 0.321141
107 72 0.156645
108 49 0.290998
109 28 1.085983
110 27 0.376991
111 30 0.326117
112 107 0.140004
113 39 0.231611
114 30 0.418879
115 38 0.176598
116 70 0.169685
117 31 0.336987
118 94 0.472496
119 38 0.330694
120 31 0.336987
121 29 0.404916
122 31 0.432842
123 22 0.408965
124 20 0.436332
125 32 0.446804
126 45 0.245437
127 28 0.390954
128 33 0.287182
129 57 0.164436
130 46 0.155349
131 92 0.106889
132 21 0.390375
133 34 0.417243
134 38 0.413081
135 40 0.237550
136 37 0.290597
137 29 0.252372
138 134 0.109514
139 31 0.496885
140 100 0.242407
141 55 0.391809
142 33 0.287182
143 61 0.283487
144 217 0.090068
145 29 0.404916
