number 56
mean size 755.446429
mean circularity 0.274035
ID size circularity
1 978 0.066160
2 7 0.343612
3 232 0.097410
4 49 0.227719
5 113 0.346680
6 429 0.168252
7 346 0.140366
8 24 0.384685
9 149 0.149266
10 463 0.135784
11 50 0.296937
12 30592 0.040656
13 28 0.271496
14 206 0.258867
15 33 0.404971
16 40 0.434823
17 31 0.380427
18 54 0.350508
19 70 0.415712
20 30 0.418879
21 101 0.507681
22 243 0.165097
23 56 0.241329
24 27 0.175254
25 1114 0.086196
26 7 0.343612
27 51 0.443826
28 192 0.278962
29 635 0.142065
30 33 0.287182
31 31 0.883350
32 57 0.310887
33 39 0.306305
34 59 0.296566
35 31 0.432842
36 40 0.259636
37 570 0.127523
38 1206 0.065504
39 623 0.095046
40 7 0.343612
41 11 0.285599
42 109 0.356330
43 108 0.153595
44 31 0.432842
45 27 0.192342
46 576 0.069379
47 41 0.397547
48 93 0.347406
49 101 0.208613
50 1004 0.065765
51 21 0.336599
52 122 0.265425
53 833 0.091627
54 35 0.429515
55 86 0.153162
56 61 0.434551
