number126
mean size 113.634921
mean circularity 0.267734
ID size circularity
1 66 0.202485
2 299 0.063110
3 30 0.261074
4 31 0.432842
5 39 0.378155
6 377 0.059998
7 32 0.392699
8 45 0.489175
9 184 0.116303
10 48 0.156916
11 32 0.227961
12 31 0.300584
13 54 0.176531
14 53 0.220171
15 38 0.270704
16 32 0.446804
17 116 0.266198
18 331 0.069865
19 267 0.096983
20 146 0.102177
21 94 0.241069
22 52 0.224092
23 62 0.216421
24 264 0.090938
25 53 0.266407
26 57 0.245639
27 84 0.228282
28 43 0.374206
29 205 0.087078
30 208 0.175612
31 31 0.380427
32 193 0.135070
33 44 0.313447
34 37 0.454058
35 148 0.234796
36 214 0.116396
37 35 0.249333
38 23 0.282252
39 88 0.130652
40 31 0.380427
41 49 0.349066
42 89 0.310669
43 62 0.441675
44 229 0.190211
45 23 0.368656
46 287 0.112560
47 47 0.409016
48 38 0.298451
49 13 0.337526
50 20 0.279253
51 593 0.058143
52 35 0.429515
53 122 0.126702
54 64 0.196350
55 34 0.220690
56 5 0.245437
57 12 0.192342
58 32 0.446804
59 213 0.153618
60 31 0.432842
61 45 0.267243
62 62 0.178860
63 140 0.339370
64 132 0.224278
65 48 0.206854
66 777 0.181407
67 42 0.407243
68 23 0.200157
69 139 0.206371
70 58 0.316341
71 55 0.276460
72 324 0.240917
73 33 0.404971
74 106 0.198102
75 135 0.159908
76 194 0.362563
77 1319 0.039231
78 6 0.294524
79 31 0.432842
80 33 0.319977
81 517 0.092514
82 44 0.164364
83 11 0.345575
84 243 0.353061
85 58 0.376472
86 79 0.469160
87 31 0.336987
88 131 0.190334
89 71 0.232105
90 32 0.347858
91 74 0.371965
92 41 0.356801
93 128 0.164115
94 91 0.165995
95 77 0.331828
96 43 0.279108
97 88 0.098419
98 37 0.358762
99 112 0.204302
100 28 0.390954
101 100 0.256457
102 31 0.380427
103 30 0.418879
104 43 0.467434
105 81 0.481038
106 42 0.365504
107 30 0.480856
108 34 0.417243
109 245 0.171461
110 31 0.432842
111 31 0.496885
112 46 0.250891
113 92 0.120378
114 170 0.094946
115 81 0.207730
116 41 0.206088
117 47 0.369137
118 107 0.158861
119 115 0.133611
120 160 0.082619
121 390 0.091054
122 44 0.382909
123 16 0.349066
124 33 0.404971
125 247 0.276245
126 178 0.191771
