number72
mean size 69.638889
mean circularity 0.298459
ID size circularity
1 66 0.202485
2 141 0.087872
3 30 0.261074
4 31 0.496885
5 39 0.378155
6 97 0.222596
7 32 0.392699
8 257 0.077604
9 147 0.130447
10 48 0.156916
11 32 0.227961
12 53 0.220171
13 212 0.082224
14 106 0.164449
15 96 0.188496
16 45 0.267243
17 72 0.251327
18 12 0.261799
19 77 0.215551
20 24 0.335103
21 59 0.274192
22 44 0.313447
23 140 0.074182
24 65 0.149163
25 77 0.419970
26 23 0.282252
27 31 0.380427
28 49 0.349066
29 172 0.127894
30 23 0.368656
31 87 0.123730
32 40 0.387851
33 46 0.298581
34 20 0.371786
35 33 0.235085
36 31 0.883350
37 30 0.778907
38 27 0.376991
39 68 0.160352
40 61 0.262877
41 38 0.330694
42 47 0.305072
43 21 0.390375
44 57 0.310887
45 79 0.275762
46 74 0.357521
47 243 0.353061
48 101 0.330178
49 31 0.336987
50 71 0.232105
51 32 0.347858
52 41 0.356801
53 128 0.164115
54 43 0.279108
55 61 0.125994
56 59 0.382963
57 17 0.272485
58 49 0.290998
59 28 1.085983
60 43 0.255366
61 69 0.176955
62 60 0.427428
63 31 0.336987
64 38 0.330694
65 31 0.336987
66 29 0.404916
67 34 0.417243
68 37 0.290597
69 188 0.218424
70 100 0.242407
71 213 0.090476
72 178 0.191771
