number128
total area 82669.000000
total length 7174.000000
ID area length
1 3130.000000 240.000000
2 1922.000000 204.000000
3 2152.000000 213.000000
4 1317.000000 137.000000
5 3307.000000 331.000000
6 5434.000000 460.000000
7 6.000000 0.000000
8 2.000000 0.000000
9 1.000000 0.000000
10 1.000000 0.000000
11 1.000000 0.000000
12 2.000000 0.000000
13 1.000000 0.000000
14 4.000000 0.000000
15 4557.000000 447.000000
16 4.000000 0.000000
17 6.000000 0.000000
18 2027.000000 176.000000
19 1.000000 0.000000
20 10.000000 0.000000
21 4451.000000 444.000000
22 12.000000 0.000000
23 22.000000 0.000000
24 487.000000 47.000000
25 2.000000 0.000000
26 1.000000 0.000000
27 4.000000 0.000000
28 14.000000 0.000000
29 8.000000 0.000000
30 965.000000 67.000000
31 291.000000 4.000000
32 26.000000 0.000000
33 1072.000000 129.000000
34 2.000000 0.000000
35 7.000000 0.000000
36 23.000000 0.000000
37 2.000000 0.000000
38 1.000000 0.000000
39 1.000000 0.000000
40 3.000000 0.000000
41 24985.000000 2058.000000
42 10.000000 0.000000
43 1.000000 0.000000
44 3815.000000 337.000000
45 1.000000 0.000000
46 1.000000 0.000000
47 4.000000 0.000000
48 1.000000 0.000000
49 705.000000 49.000000
50 2.000000 0.000000
51 32.000000 0.000000
52 2.000000 0.000000
53 3.000000 0.000000
54 3.000000 0.000000
55 1.000000 0.000000
56 1.000000 0.000000
57 1.000000 0.000000
58 41.000000 0.000000
59 143.000000 0.000000
60 4.000000 0.000000
61 14.000000 0.000000
62 2.000000 0.000000
63 14.000000 0.000000
64 1.000000 0.000000
65 739.000000 59.000000
66 1.000000 0.000000
67 1.000000 0.000000
68 1.000000 0.000000
69 1.000000 0.000000
70 5.000000 0.000000
71 3.000000 0.000000
72 4.000000 0.000000
73 1.000000 0.000000
74 3.000000 0.000000
75 8.000000 0.000000
76 1.000000 0.000000
77 1.000000 0.000000
78 1.000000 0.000000
79 2.000000 0.000000
80 3.000000 0.000000
81 1.000000 0.000000
82 2.000000 0.000000
83 2.000000 0.000000
84 3.000000 0.000000
85 1.000000 0.000000
86 1.000000 0.000000
87 1.000000 0.000000
88 3.000000 0.000000
89 912.000000 90.000000
90 2.000000 0.000000
91 4.000000 0.000000
92 12.000000 0.000000
93 138.000000 0.000000
94 2.000000 0.000000
95 4.000000 0.000000
96 3.000000 0.000000
97 2.000000 0.000000
98 1.000000 0.000000
99 1.000000 0.000000
100 31.000000 0.000000
101 2994.000000 231.000000
102 7.000000 0.000000
103 2.000000 0.000000
104 3.000000 0.000000
105 14.000000 0.000000
106 1478.000000 132.000000
107 1.000000 0.000000
108 1.000000 0.000000
109 3.000000 0.000000
110 2.000000 0.000000
111 8.000000 0.000000
112 4.000000 0.000000
113 2.000000 0.000000
114 4.000000 0.000000
115 1.000000 0.000000
116 1.000000 0.000000
117 2.000000 0.000000
118 4939.000000 479.000000
119 9.000000 0.000000
120 6.000000 0.000000
121 10.000000 0.000000
122 1417.000000 132.000000
123 21.000000 0.000000
124 22.000000 0.000000
125 1002.000000 89.000000
126 3.000000 0.000000
127 3169.000000 197.000000
128 4577.000000 422.000000
