number86
total area 32834.000000
total length 3972.000000
ID area length
1 873.000000 68.000000
2 334.000000 68.000000
3 336.000000 30.000000
4 257.000000 18.000000
5 200.000000 46.000000
6 745.000000 102.000000
7 107.000000 18.000000
8 1042.000000 116.000000
9 324.000000 27.000000
10 151.000000 0.000000
11 206.000000 23.000000
12 85.000000 17.000000
13 1059.000000 108.000000
14 164.000000 17.000000
15 102.000000 0.000000
16 452.000000 30.000000
17 64.000000 0.000000
18 40.000000 17.000000
19 459.000000 68.000000
20 457.000000 27.000000
21 131.000000 35.000000
22 161.000000 0.000000
23 119.000000 27.000000
24 1821.000000 209.000000
25 178.000000 18.000000
26 297.000000 44.000000
27 117.000000 23.000000
28 109.000000 29.000000
29 1405.000000 189.000000
30 111.000000 21.000000
31 353.000000 41.000000
32 90.000000 0.000000
33 390.000000 73.000000
34 221.000000 27.000000
35 352.000000 43.000000
36 88.000000 20.000000
37 1486.000000 65.000000
38 61.000000 0.000000
39 172.000000 20.000000
40 107.000000 0.000000
41 131.000000 0.000000
42 228.000000 29.000000
43 246.000000 41.000000
44 756.000000 57.000000
45 950.000000 160.000000
46 312.000000 69.000000
47 455.000000 71.000000
48 307.000000 43.000000
49 194.000000 29.000000
50 49.000000 0.000000
51 179.000000 0.000000
52 205.000000 26.000000
53 190.000000 32.000000
54 207.000000 17.000000
55 73.000000 19.000000
56 126.000000 21.000000
57 1345.000000 106.000000
58 310.000000 48.000000
59 991.000000 101.000000
60 146.000000 34.000000
61 50.000000 18.000000
62 168.000000 24.000000
63 586.000000 60.000000
64 77.000000 21.000000
65 394.000000 70.000000
66 826.000000 118.000000
67 439.000000 70.000000
68 434.000000 70.000000
69 62.000000 20.000000
70 817.000000 84.000000
71 90.000000 0.000000
72 56.000000 19.000000
73 246.000000 28.000000
74 616.000000 19.000000
75 474.000000 75.000000
76 177.000000 50.000000
77 165.000000 28.000000
78 83.000000 18.000000
79 162.000000 28.000000
80 293.000000 59.000000
81 517.000000 111.000000
82 202.000000 38.000000
83 442.000000 59.000000
84 2058.000000 173.000000
85 176.000000 23.000000
86 598.000000 102.000000
